Event,Voltage1,Voltage2
22,-0.1126508147,2.846733261
22,-0.1126508147,2.80653225
22,-0.1126508147,2.726130227
22,-0.1126508147,2.726130227
22,-0.104610615,2.726130227
22,-0.1206910144,2.685929216
22,-0.1126508147,2.766331238
22,-0.09657041536,2.80653225
22,-0.09657041536,2.685929216
22,-0.08853021568,2.605527194
22,-0.080490016,2.766331238
22,-0.09657041536,2.766331238
22,-0.104610615,2.80653225
22,-0.104610615,2.80653225
22,-0.09657041536,2.886934272
22,-0.1206910144,2.846733261
22,-0.1126508147,2.766331238
22,-0.1528518131,2.766331238
22,-0.1769724122,2.726130227
22,-0.1608920128,2.685929216
22,-0.1206910144,2.726130227
22,-0.1206910144,2.726130227
22,-0.1287312141,2.766331238
22,-0.1126508147,2.766331238
22,-0.104610615,2.726130227
22,-0.09657041536,2.685929216
22,-0.1126508147,2.645728205
22,-0.1206910144,2.685929216
22,-0.1206910144,2.605527194
22,-0.09657041536,2.645728205
22,-0.08853021568,2.726130227
22,-0.09657041536,2.80653225
22,-0.08853021568,2.80653225
22,-0.1126508147,2.80653225
22,-0.080490016,2.846733261
22,-0.080490016,2.886934272
22,-0.09657041536,2.927135283
22,-0.09657041536,3.047738317
22,-0.08853021568,3.047738317
22,-0.08853021568,3.047738317
22,-0.07244981632,3.087939328
22,-0.104610615,2.967336294
22,-0.104610615,3.047738317
22,-0.09657041536,2.967336294
22,-0.104610615,3.128140339
22,-0.104610615,3.007537306
22,-0.09657041536,3.128140339
22,-0.08853021568,3.208542362
22,-0.080490016,3.329145395
22,-0.080490016,3.16834135
22,-0.07244981632,3.16834135
22,-0.06440961664,3.208542362
22,-0.07244981632,3.16834135
22,-0.08853021568,3.128140339
22,-0.08853021568,3.047738317
22,-0.104610615,3.047738317
22,-0.1126508147,3.007537306
22,-0.1287312141,3.007537306
22,-0.1287312141,3.087939328
22,-0.1287312141,3.007537306
22,-0.1206910144,2.846733261
22,-0.08853021568,2.80653225
22,-0.1448116134,2.766331238
22,-0.1287312141,2.726130227
22,-0.1126508147,2.846733261
22,-0.104610615,2.886934272
22,-0.104610615,2.927135283
22,-0.1287312141,2.846733261
22,-0.1126508147,2.886934272
22,-0.1367714138,2.886934272
22,-0.1287312141,2.766331238
22,-0.1206910144,2.80653225
22,-0.1206910144,2.80653225
22,-0.104610615,2.766331238
22,-0.1206910144,2.766331238
22,-0.1206910144,2.726130227
22,-0.1126508147,2.685929216
22,-0.1206910144,2.726130227
22,-0.1287312141,2.685929216
22,-0.1448116134,2.726130227
22,-0.1608920128,2.726130227
22,-0.1769724122,2.846733261
22,-0.1528518131,2.886934272
22,-0.1448116134,2.927135283
22,-0.1206910144,2.80653225
22,-0.1206910144,2.766331238
22,-0.1448116134,2.726130227
22,-0.1206910144,2.726130227
22,-0.09657041536,2.766331238
22,-0.08853021568,2.685929216
22,-0.08853021568,2.645728205
22,-0.1126508147,2.685929216
22,-0.1126508147,2.685929216
22,-0.104610615,2.605527194
22,-0.104610615,2.605527194
22,-0.104610615,2.605527194
22,-0.09657041536,2.726130227
22,-0.08853021568,2.766331238
22,-0.09657041536,2.685929216
22,-0.09657041536,2.80653225
22,-0.07244981632,2.766331238
22,-0.08853021568,2.846733261
22,-0.09657041536,2.766331238
22,-0.1126508147,2.726130227
22,-0.1367714138,2.685929216
22,-0.1206910144,2.645728205
22,-0.09657041536,2.565326182
22,-0.08853021568,2.605527194
22,-0.09657041536,2.605527194
22,-0.08853021568,2.605527194
22,-0.104610615,2.645728205
22,-0.1367714138,2.645728205
22,-0.1287312141,2.605527194
22,-0.1126508147,2.645728205
22,-0.1367714138,2.605527194
22,-0.1287312141,2.726130227
22,-0.1126508147,2.846733261
22,-0.1448116134,2.886934272
22,-0.1448116134,2.80653225
22,-0.1287312141,2.766331238
22,-0.1689322125,2.766331238
22,-0.1448116134,2.886934272
22,-0.1287312141,2.846733261
22,-0.1206910144,2.80653225
22,-0.1367714138,2.766331238
22,-0.1287312141,2.846733261
22,-0.1367714138,2.967336294
22,-0.09657041536,2.886934272
22,-0.1126508147,2.80653225
22,-0.104610615,2.766331238
22,-0.09657041536,2.726130227
22,-0.104610615,2.645728205
22,-0.104610615,2.645728205
22,-0.1448116134,2.645728205
22,-0.1287312141,2.525125171
22,-0.1126508147,2.645728205
22,-0.1206910144,2.685929216
22,-0.1367714138,2.645728205
22,-0.1206910144,2.645728205
22,-0.08853021568,2.685929216
22,-0.080490016,2.645728205
22,-0.08853021568,2.605527194
22,-0.07244981632,2.565326182
22,-0.05636941696,2.525125171
22,-0.06440961664,2.605527194
22,-0.05636941696,2.685929216
22,-0.080490016,2.766331238
22,-0.080490016,2.726130227
22,-0.09657041536,2.685929216
22,-0.09657041536,2.645728205
22,-0.09657041536,2.565326182
22,-0.080490016,2.565326182
22,-0.09657041536,2.605527194
22,-0.09657041536,2.565326182
22,-0.1206910144,2.645728205
22,-0.1126508147,2.605527194
22,-0.1206910144,2.525125171
22,-0.1287312141,2.525125171
22,-0.104610615,2.444723149
22,-0.09657041536,2.565326182
22,-0.08853021568,2.605527194
22,-0.08853021568,2.605527194
22,-0.08853021568,2.565326182
22,-0.08853021568,2.48492416
22,-0.08853021568,2.565326182
22,-0.08853021568,2.605527194
22,-0.08853021568,2.605527194
22,-0.07244981632,2.565326182
22,-0.06440961664,2.565326182
22,-0.04832921728,2.48492416
22,-0.04832921728,2.525125171
22,-0.0402890176,2.645728205
22,-0.0402890176,2.645728205
22,-0.08853021568,2.645728205
22,-0.080490016,2.605527194
22,-0.1206910144,2.525125171
22,-0.1206910144,2.685929216
22,-0.1367714138,2.80653225
22,-0.1689322125,2.766331238
22,-0.1608920128,2.886934272
22,-0.1206910144,2.846733261
22,-0.1206910144,2.886934272
22,-0.09657041536,2.886934272
22,-0.104610615,2.927135283
22,-0.08853021568,2.886934272
22,-0.1287312141,2.886934272
22,-0.1367714138,2.886934272
22,-0.1367714138,2.927135283
22,-0.1287312141,2.927135283
22,-0.1367714138,2.846733261
22,-0.1206910144,2.846733261
22,-0.1126508147,2.766331238
22,-0.09657041536,2.766331238
22,-0.09657041536,2.766331238
22,-0.09657041536,2.726130227
