Event,Time,Voltage1,Voltage2
1,-5.000065710e-03,4.764132781e-02,-2.574748480e+00
1,-4.980065710e-03,4.965137811e-02,-2.373743450e+00
1,-4.960065710e-03,4.965137811e-02,-2.775753510e+00
1,-4.940065710e-03,4.965137811e-02,-1.770728358e+00
1,-4.920065710e-03,5.166142842e-02,-2.976758541e+00
1,-4.900065710e-03,5.367147872e-02,-3.780778662e+00
1,-4.880065710e-03,5.166142842e-02,-3.177763571e+00
1,-4.860065710e-03,5.166142842e-02,-2.373743450e+00
1,-4.840065710e-03,5.367147872e-02,-3.378768602e+00
1,-4.820065710e-03,5.166142842e-02,-2.976758541e+00
1,-4.800065710e-03,5.166142842e-02,-2.976758541e+00
1,-4.780065710e-03,4.965137811e-02,-2.775753510e+00
1,-4.760065710e-03,4.764132781e-02,-2.373743450e+00
1,-4.740065710e-03,4.764132781e-02,-3.378768602e+00
1,-4.720065710e-03,4.965137811e-02,-2.976758541e+00
1,-4.700065710e-03,5.166142842e-02,-2.172738419e+00
1,-4.680065710e-03,4.965137811e-02,-2.373743450e+00
1,-4.660065710e-03,5.367147872e-02,-2.172738419e+00
1,-4.640065710e-03,5.166142842e-02,-1.770728358e+00
1,-4.620065710e-03,5.166142842e-02,-2.172738419e+00
1,-4.600065710e-03,4.965137811e-02,-2.373743450e+00
1,-4.580065710e-03,5.367147872e-02,-2.976758541e+00
1,-4.560065710e-03,4.965137811e-02,-2.373743450e+00
1,-4.540065710e-03,4.965137811e-02,-3.177763571e+00
1,-4.520065710e-03,4.764132781e-02,-2.775753510e+00
1,-4.500065710e-03,4.965137811e-02,-3.378768602e+00
1,-4.480065710e-03,4.764132781e-02,-2.976758541e+00
1,-4.460065710e-03,4.764132781e-02,-4.182788723e+00
1,-4.440065710e-03,4.764132781e-02,-3.177763571e+00
1,-4.420065710e-03,4.965137811e-02,-2.775753510e+00
1,-4.400065710e-03,5.166142842e-02,-1.971733389e+00
1,-4.380065710e-03,4.764132781e-02,-2.775753510e+00
1,-4.360065710e-03,4.965137811e-02,-2.172738419e+00
1,-4.340065710e-03,4.965137811e-02,-1.770728358e+00
1,-4.320065710e-03,4.965137811e-02,-2.172738419e+00
1,-4.300065710e-03,4.965137811e-02,-1.569723328e+00
1,-4.280065710e-03,5.166142842e-02,-1.971733389e+00
1,-4.260065710e-03,5.568152902e-02,-2.574748480e+00
1,-4.240065710e-03,5.367147872e-02,-2.574748480e+00
1,-4.220065710e-03,5.367147872e-02,-3.177763571e+00
1,-4.200065710e-03,5.367147872e-02,-2.775753510e+00
1,-4.180065710e-03,5.568152902e-02,-2.976758541e+00
1,-4.160065710e-03,5.367147872e-02,-2.775753510e+00
1,-4.140065710e-03,5.367147872e-02,-2.373743450e+00
1,-4.120065710e-03,5.166142842e-02,-1.770728358e+00
1,-4.100065710e-03,5.367147872e-02,-2.775753510e+00
1,-4.080065710e-03,5.367147872e-02,-2.574748480e+00
1,-4.060065710e-03,5.166142842e-02,-2.775753510e+00
1,-4.040065710e-03,5.367147872e-02,-2.775753510e+00
1,-4.020065710e-03,5.568152902e-02,-2.172738419e+00
1,-4.000065710e-03,5.367147872e-02,-3.177763571e+00
1,-3.980065710e-03,5.568152902e-02,-3.378768602e+00
1,-3.960065710e-03,5.568152902e-02,-2.775753510e+00
1,-3.940065710e-03,5.367147872e-02,-1.971733389e+00
1,-3.920065710e-03,5.166142842e-02,-3.177763571e+00
1,-3.900065710e-03,5.166142842e-02,-2.373743450e+00
1,-3.880065710e-03,5.166142842e-02,-3.177763571e+00
1,-3.860065710e-03,5.166142842e-02,-2.373743450e+00
1,-3.840065710e-03,4.965137811e-02,-2.574748480e+00
1,-3.820065710e-03,4.965137811e-02,-3.780778662e+00
1,-3.800065710e-03,4.764132781e-02,-3.780778662e+00
1,-3.780065710e-03,4.764132781e-02,-5.187813875e+00
1,-3.760065710e-03,4.764132781e-02,-4.986808845e+00
1,-3.740065710e-03,4.764132781e-02,-4.584798784e+00
1,-3.720065710e-03,4.764132781e-02,-4.182788723e+00
1,-3.700065710e-03,4.965137811e-02,-3.981783693e+00
1,-3.680065710e-03,5.166142842e-02,-2.775753510e+00
1,-3.660065710e-03,4.965137811e-02,-3.378768602e+00
1,-3.640065710e-03,5.166142842e-02,-2.976758541e+00
1,-3.620065710e-03,5.166142842e-02,-2.172738419e+00
1,-3.600065710e-03,5.367147872e-02,-3.579773632e+00
1,-3.580065710e-03,5.367147872e-02,-2.775753510e+00
1,-3.560065710e-03,5.367147872e-02,-3.981783693e+00
1,-3.540065710e-03,5.166142842e-02,-3.981783693e+00
1,-3.520065710e-03,5.166142842e-02,-5.388818906e+00
1,-3.500065710e-03,4.965137811e-02,-4.986808845e+00
1,-3.480065710e-03,4.965137811e-02,-4.182788723e+00
1,-3.460065710e-03,4.965137811e-02,-5.187813875e+00
1,-3.440065710e-03,4.965137811e-02,-3.981783693e+00
