Event,Voltage1_Peak_Abs
22,0.4342588019
33,0.3216960064
94,0.3136558067
116,0.3538568051
127,0.3538568051
134,0.3699372045
136,0.3860176038
173,0.305615607
189,0.5227009984
209,0.6674245926
224,0.506620599
269,0.4744598003
369,0.3860176038
402,0.5307411981
475,0.5709421965
488,0.3618970048
489,0.4422990016
516,0.7397863898
617,0.3216960064
622,0.4905401997
674,0.3618970048
676,0.3779774042
682,0.3940578035
692,0.3297362061
735,0.3216960064
740,0.5468215974
760,0.3458166054
766,0.3940578035
818,0.3297362061
825,0.4422990016
827,0.3779774042
838,0.4503392013
946,0.4825
966,0.3618970048
968,0.4262186022
1017,0.3136558067
1054,0.3940578035
1066,0.4262186022
1098,0.4342588019
1111,0.3297362061
1167,0.4664196006
1176,0.3458166054
1198,0.3538568051
1240,0.3297362061
1278,0.5307411981
1295,0.3297362061
1322,0.4342588019
