Event,Time,Voltage1,Voltage2
1,-5.000065710e-03,5.788066214e-02,-5.619342720e-02
1,-4.980065710e-03,5.788066214e-02,-5.217332608e-02
1,-4.960065710e-03,5.788066214e-02,-6.825373056e-02
1,-4.940065710e-03,5.707664218e-02,-5.217332608e-02
1,-4.920065710e-03,5.707664218e-02,-6.825373056e-02
1,-4.900065710e-03,5.788066214e-02,-5.619342720e-02
1,-4.880065710e-03,5.868468211e-02,-5.619342720e-02
1,-4.860065710e-03,5.707664218e-02,-5.619342720e-02
1,-4.840065710e-03,5.466458227e-02,-4.011302272e-02
1,-4.820065710e-03,5.466458227e-02,-4.011302272e-02
1,-4.800065710e-03,5.386056230e-02,-5.619342720e-02
1,-4.780065710e-03,5.386056230e-02,-4.011302272e-02
1,-4.760065710e-03,5.466458227e-02,-4.011302272e-02
1,-4.740065710e-03,5.546860224e-02,-6.021352832e-02
1,-4.720065710e-03,5.466458227e-02,-6.423362944e-02
1,-4.700065710e-03,5.466458227e-02,-5.619342720e-02
1,-4.680065710e-03,5.627262221e-02,-4.815322496e-02
1,-4.660065710e-03,5.707664218e-02,-5.619342720e-02
1,-4.640065710e-03,5.627262221e-02,-5.619342720e-02
1,-4.620065710e-03,5.627262221e-02,-5.619342720e-02
1,-4.600065710e-03,5.546860224e-02,-7.629393280e-02
1,-4.580065710e-03,5.546860224e-02,-6.423362944e-02
1,-4.560065710e-03,5.386056230e-02,-4.413312384e-02
1,-4.540065710e-03,5.627262221e-02,-6.825373056e-02
1,-4.520065710e-03,5.546860224e-02,-7.629393280e-02
1,-4.500065710e-03,5.546860224e-02,-6.423362944e-02
1,-4.480065710e-03,5.627262221e-02,-6.423362944e-02
1,-4.460065710e-03,5.546860224e-02,-7.227383168e-02
1,-4.440065710e-03,5.466458227e-02,-7.227383168e-02
1,-4.420065710e-03,5.466458227e-02,-7.629393280e-02
1,-4.400065710e-03,5.627262221e-02,-6.423362944e-02
1,-4.380065710e-03,5.627262221e-02,-8.433413504e-02
1,-4.360065710e-03,5.466458227e-02,-8.433413504e-02
1,-4.340065710e-03,5.546860224e-02,-9.639443840e-02
1,-4.320065710e-03,5.466458227e-02,-7.629393280e-02
1,-4.300065710e-03,5.707664218e-02,-8.433413504e-02
1,-4.280065710e-03,5.868468211e-02,-6.825373056e-02
1,-4.260065710e-03,5.948870208e-02,-4.815322496e-02
1,-4.240065710e-03,5.948870208e-02,-5.619342720e-02
1,-4.220065710e-03,5.868468211e-02,-5.217332608e-02
1,-4.200065710e-03,5.948870208e-02,-5.619342720e-02
1,-4.180065710e-03,6.029272205e-02,-4.815322496e-02
1,-4.160065710e-03,6.029272205e-02,-6.423362944e-02
1,-4.140065710e-03,5.948870208e-02,-8.433413504e-02
