Event,channel1,channel2,Time,Voltage
1,0.053136941696,-0.011425854079999992,-5.000065710e-03,5.313694170e-02
1,0.053940961664,-0.011425854079999992,-4.980065710e-03,5.394096166e-02
1,0.054744981632,-0.007405752959999984,-4.960065710e-03,5.474498163e-02
1,0.0555490016,-0.0033856518399999758,-4.940065710e-03,5.554900160e-02
1,0.053940961664,-0.011425854079999992,-4.920065710e-03,5.394096166e-02
1,0.053136941696,-0.011425854079999992,-4.900065710e-03,5.313694170e-02
1,0.053940961664,-0.007405752959999984,-4.880065710e-03,5.394096166e-02
1,0.0555490016,-0.007405752959999984,-4.860065710e-03,5.554900160e-02
1,0.0555490016,-0.0033856518399999758,-4.840065710e-03,5.554900160e-02
1,0.053940961664,-0.015445955199999972,-4.820065710e-03,5.394096166e-02
1,0.057157041536,-0.011425854079999992,-4.800065710e-03,5.715704154e-02
1,0.057157041536,-0.011425854079999992,-4.780065710e-03,5.715704154e-02
1,0.057157041536,-0.007405752959999984,-4.760065710e-03,5.715704154e-02
1,0.056353021568,-0.015445955199999972,-4.740065710e-03,5.635302157e-02
1,0.058765081472,-0.015445955199999972,-4.720065710e-03,5.876508147e-02
1,0.057157041536,-0.011425854079999992,-4.700065710e-03,5.715704154e-02
1,0.057157041536,-0.011425854079999992,-4.680065710e-03,5.715704154e-02
1,0.057157041536,-0.011425854079999992,-4.660065710e-03,5.715704154e-02
1,0.057157041536,-0.0033856518399999758,-4.640065710e-03,5.715704154e-02
1,0.056353021568,-0.011425854079999992,-4.620065710e-03,5.635302157e-02
1,0.057157041536,-0.007405752959999984,-4.600065710e-03,5.715704154e-02
1,0.0555490016,-0.0033856518399999758,-4.580065710e-03,5.554900160e-02
1,0.057157041536,-0.0033856518399999758,-4.560065710e-03,5.715704154e-02
1,0.058765081472,-0.015445955199999972,-4.540065710e-03,5.876508147e-02
1,0.058765081472,-0.015445955199999972,-4.520065710e-03,5.876508147e-02
1,0.057157041536,-0.011425854079999992,-4.500065710e-03,5.715704154e-02
1,0.057961061504,-0.011425854079999992,-4.480065710e-03,5.796106150e-02
1,0.057157041536,-0.011425854079999992,-4.460065710e-03,5.715704154e-02
1,0.056353021568,-0.011425854079999992,-4.440065710e-03,5.635302157e-02
1,0.056353021568,-0.007405752959999984,-4.420065710e-03,5.635302157e-02
1,0.0555490016,-0.007405752959999984,-4.400065710e-03,5.554900160e-02
1,0.056353021568,-0.007405752959999984,-4.380065710e-03,5.635302157e-02
1,0.0555490016,-0.007405752959999984,-4.360065710e-03,5.554900160e-02
1,0.056353021568,-0.02348615743999999,-4.340065710e-03,5.635302157e-02
1,0.057157041536,-0.015445955199999972,-4.320065710e-03,5.715704154e-02
1,0.056353021568,-0.011425854079999992,-4.300065710e-03,5.635302157e-02
1,0.0555490016,-0.011425854079999992,-4.280065710e-03,5.554900160e-02
1,0.056353021568,-0.007405752959999984,-4.260065710e-03,5.635302157e-02
1,0.0555490016,-0.015445955199999972,-4.240065710e-03,5.554900160e-02
1,0.056353021568,-0.015445955199999972,-4.220065710e-03,5.635302157e-02
1,0.054744981632,-0.011425854079999992,-4.200065710e-03,5.474498163e-02
1,0.054744981632,-0.011425854079999992,-4.180065710e-03,5.474498163e-02
1,0.056353021568,-0.011425854079999992,-4.160065710e-03,5.635302157e-02
1,0.058765081472,-0.011425854079999992,-4.140065710e-03,5.876508147e-02
1,0.058765081472,-0.011425854079999992,-4.120065710e-03,5.876508147e-02
1,0.057961061504,-0.011425854079999992,-4.100065710e-03,5.796106150e-02
1,0.057961061504,-0.0033856518399999758,-4.080065710e-03,5.796106150e-02
1,0.057961061504,-0.007405752959999984,-4.060065710e-03,5.796106150e-02
1,0.058765081472,-0.007405752959999984,-4.040065710e-03,5.876508147e-02
1,0.05956910144,-0.0033856518399999758,-4.020065710e-03,5.956910144e-02
1,0.060373121408,-0.0033856518399999758,-4.000065710e-03,6.037312141e-02
1,0.058765081472,-0.0033856518399999758,-3.980065710e-03,5.876508147e-02
1,0.057157041536,-0.0033856518399999758,-3.960065710e-03,5.715704154e-02
1,0.061177141376,-0.007405752959999984,-3.940065710e-03,6.117714138e-02
1,0.060373121408,-0.0033856518399999758,-3.920065710e-03,6.037312141e-02
1,0.05956910144,-0.0033856518399999758,-3.900065710e-03,5.956910144e-02
1,0.061177141376,-0.0033856518399999758,-3.880065710e-03,6.117714138e-02
1,0.05956910144,-0.0033856518399999758,-3.860065710e-03,5.956910144e-02
1,0.061981161344,-0.0033856518399999758,-3.840065710e-03,6.198116134e-02
1,0.061177141376,-0.011425854079999992,-3.820065710e-03,6.117714138e-02
1,0.058765081472,-0.011425854079999992,-3.800065710e-03,5.876508147e-02
1,0.060373121408,-0.01946605631999998,-3.780065710e-03,6.037312141e-02
1,0.060373121408,-0.01946605631999998,-3.760065710e-03,6.037312141e-02
1,0.058765081472,-0.01946605631999998,-3.740065710e-03,5.876508147e-02
1,0.057157041536,-0.02750625855999997,-3.720065710e-03,5.715704154e-02
1,0.056353021568,-0.02348615743999999,-3.700065710e-03,5.635302157e-02
1,0.056353021568,-0.015445955199999972,-3.680065710e-03,5.635302157e-02
1,0.0555490016,-0.015445955199999972,-3.660065710e-03,5.554900160e-02
1,0.056353021568,-0.011425854079999992,-3.640065710e-03,5.635302157e-02
1,0.056353021568,-0.01946605631999998,-3.620065710e-03,5.635302157e-02
1,0.0555490016,-0.03152635967999998,-3.600065710e-03,5.554900160e-02
1,0.053940961664,-0.02348615743999999,-3.580065710e-03,5.394096166e-02
1,0.054744981632,-0.015445955199999972,-3.560065710e-03,5.474498163e-02
1,0.053940961664,-0.015445955199999972,-3.540065710e-03,5.394096166e-02
1,0.054744981632,-0.015445955199999972,-3.520065710e-03,5.474498163e-02
1,0.054744981632,-0.02348615743999999,-3.500065710e-03,5.474498163e-02
1,0.057157041536,-0.01946605631999998,-3.480065710e-03,5.715704154e-02
1,0.056353021568,-0.01946605631999998,-3.460065710e-03,5.635302157e-02
1,0.057157041536,-0.01946605631999998,-3.440065710e-03,5.715704154e-02
